sitenewname;Longitude;Latitude
0089_001_QUEMNT_1_1;-82,95999999999999;34,9400000000000
0187_001_VACMYR_2_11;20,82000000000000;69,0700000000000
0187_001_VACMYR_3_4;20,82000000000000;69,0700000000000
0187_002_VACMYR_2_11;20,80000000000000;69,0400000000000
0187_002_VACMYR_3_4;20,80000000000000;69,0400000000000
0234_001_PICENG_1_3;-105,89499830000000;39,9014991000000
0234_002_PICENG_1_3;-105,89351210000000;39,9023574800000
0234_003_PICENG_1_3;-105,86242330000000;39,8626343900000
0234_004_PICENG_1_3;-105,86589150000000;39,8688073100000
0234_005_PICENG_1_3;-105,86566850000000;39,8715299400000
0234_006_PICENG_1_3;-105,86545099999999;39,8821361100000
0234_007_PICENG_1_3;-105,93113049999999;39,8874386900000
0234_008_PICENG_1_3;-105,91986730000001;39,8909162500000
0234_009_PICENG_1_3;-105,91862000000000;39,8903585200000
0234_010_PICENG_1_3;-105,90621210000000;39,8896002100000
0234_011_PICENG_1_3;-105,90294980000000;39,8896707100000
0234_012_PICENG_1_3;-105,92392990000000;39,8302028900000
0234_013_PICENG_1_3;-105,87700200000000;39,8855361300000
0362_001_ACESAC_1_1;-71,75000000000000;43,9300000000000
0362_001_FAGGRA_1_1;-71,75000000000000;43,9300000000000
0362_002_ACESAC_1_1;-71,75000000000000;43,9300000000000
0362_002_FAGGRA_1_1;-71,75000000000000;43,9300000000000
0362_003_ACESAC_1_1;-71,75000000000000;43,9300000000000
0362_003_FAGGRA_1_1;-71,75000000000000;43,9300000000000
0362_004_ACESAC_1_1;-71,75000000000000;43,9300000000000
0362_004_FAGGRA_1_1;-71,75000000000000;43,9300000000000
0362_005_ACESAC_1_1;-71,75000000000000;43,9300000000000
0362_005_FAGGRA_1_1;-71,75000000000000;43,9300000000000
0362_006_ACESAC_1_1;-71,75000000000000;43,9300000000000
0362_006_FAGGRA_1_1;-71,75000000000000;43,9300000000000
0752_001_QUEROB_1_3;-1,41000000000000;50,9300000000000
0806_001_ALLURS_2_16;10,05000000000000;51,5300000000000
0826_001_EMPNIG_3_7;29,61000000000000;67,7480000000000
0826_002_EMPNIG_3_7;29,61000000000000;67,7480000000000
0826_003_EMPNIG_3_7;29,61000000000000;67,7480000000000
0826_004_EMPNIG_3_7;29,61000000000000;67,7480000000000
1087_001_CRYJAP_3_3;136,33330000000001;34,5000000000000
1470_001_AEXPUN_1_7;-73,12000000000000;-39,6300000000000
1470_001_GEVAVE_1_7;-73,12000000000000;-39,6300000000000
1470_001_LAUPHI_1_7;-73,12000000000000;-39,6300000000000
1470_001_NOTOBL_1_7;-73,12000000000000;-39,6300000000000
1470_001_PODSAL_1_7;-73,12000000000000;-39,6300000000000
1563_001_NOTSPP_1_3;168,00000000000000;-44,9700000000000
1567_001_BETPAP_1_1;-69,77000000000000;43,7500000000000
1567_001_PINSTR_1_1;-69,77000000000000;43,7500000000000
1567_001_QUERUB_1_1;-69,77000000000000;43,7500000000000
1583_001_QUEMNG_1_9;142,18000000000001;44,2700000000000
1753_001_PINSYL_1_3;24,91580000000000;67,6507000000000
1753_003_PINSYL_1_3;25,72940000000000;66,5039000000000
1753_004_PINSYL_1_3;25,72940000000000;66,5039000000000
1753_005_PINSYL_1_3;24,82780000000000;61,8602000000000
1753_006_PINSYL_1_3;29,39310000000000;61,7559000000000
1753_007_PINSYL_1_3;24,50960000000000;62,0211000000000
1753_009_PICABI_1_3;24,91580000000000;67,6507000000000
1753_010_PICABI_1_3;25,72940000000000;66,5039000000000
1753_011_PICABI_1_3;27,66190000000000;63,0737000000000
1956_001_BETPEN_2_17;21,68000000000000;63,0500000000000
1956_001_PICABI_4_12;23,07000000000000;63,0800000000000
2037_001_PINALB_4_12;-110,81999999999999;45,0000000000000
2037_002_PINALB_4_12;-110,48000000000000;44,8000000000000
2037_003_PINALB_4_12;-109,83000000000000;45,0000000000000
2037_006_PINALB_4_12;-110,42000000000000;44,7900000000000
2037_007_PINALB_4_12;-110,12000000000000;44,4000000000000
2037_008_PINALB_4_12;-110,12000000000000;44,3900000000000
2037_011_PINALB_4_12;-109,68000000000001;43,6700000000000
2037_017_PINALB_4_12;-110,34000000000000;44,1400000000000
2081_001_ABILAS_1_7;-119,83000000000000;50,8300000000000
2081_001_PICENG_1_7;-119,83000000000000;50,8300000000000
2114_002_FAGSYL_3_28;10,37000000000000;51,3300000000000
2159_001_NOTFUS_1_7;174,97000000000000;-41,3500000000000
2163_001_VACMYR_3_30;25,60000000000000;65,0000000000000
2342_001_QUESPP_3_3;-69,77610000000000;43,8688000000000
2511_001_PINSYL_4_1;21,10000000000000;52,0200000000000
2516_001_DACCUP_3_36;167,63000000000000;-46,7800000000000
2526_001_CERJAP_1_3;138,75999999999999;35,9600000000000
2526_001_FRAPLA_1_3;138,75999999999999;35,9600000000000
2526_001_PTERHO_1_3;138,75999999999999;35,9600000000000
2543_001_FAGSYL_3_7;3,03000000000000;51,0700000000000
2543_002_FAGSYL_3_7;4,41000000000000;50,7500000000000
2553_001_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_002_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_003_ABISPP_1_15;-119,54000000000001;37,8700000000000
2553_008_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_009_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_010_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_011_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_012_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_013_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_014_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_015_ABISPP_1_15;-119,54000000000001;37,8700000000000
2553_016_ABISPP_1_15;-119,54000000000001;37,8700000000000
2553_017_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_018_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_019_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_020_ABISPP_1_15;-118,56999999999999;36,4900000000000
2553_021_ABISPP_1_15;-119,54000000000001;37,8700000000000
2553_022_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_023_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_024_PINSPP_1_15;-119,54000000000001;37,8700000000000
2553_026_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_027_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_032_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_033_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_034_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_035_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_036_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_037_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_039_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_040_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_041_PINSPP_1_15;-118,56999999999999;36,4900000000000
2553_042_PINSPP_1_15;-119,54000000000001;37,8700000000000
2553_043_CALDEC_1_15;-118,56999999999999;36,4900000000000
2553_044_CALDEC_1_15;-118,56999999999999;36,4900000000000
2553_045_CALDEC_1_15;-119,54000000000001;37,8700000000000
2553_049_CALDEC_1_15;-118,56999999999999;36,4900000000000
2553_050_CALDEC_1_15;-118,56999999999999;36,4900000000000
2553_051_CALDEC_1_15;-119,54000000000001;37,8700000000000
2562_001_FRAEXC_3_7;-1,70000000000000;53,1900000000000
2576_002_FAGCRE_1_3;138,44940000000000;36,9861100000000
2576_002_FAGCRE_2_11;138,44940000000000;36,9861100000000
2576_003_FAGCRE_1_3;138,39670000000001;36,9169400000000
2576_003_FAGCRE_2_11;138,39670000000001;36,9169400000000
2577_001_PINSIB_4_12;84,33300000000000;56,4000000000000
2579_001_PINPNE_4_7;-5,05000000000000;41,4300000000000
2579_002_PINPNE_4_7;-4,50000000000000;41,3300000000000
2579_003_PINPNE_4_7;-4,95000000000000;41,5000000000000
2579_004_PINPNE_4_7;-4,57000000000000;41,4200000000000
2579_005_PINPNE_4_7;-4,72000000000000;41,4800000000000
2583_001_QUEILE_3_1;-3,58000000000000;41,5300000000000
3017_001_FAGSYL_1_7;13,40000000000000;48,9400000000000
3031_001_PICABI_1_1;8,45000000000000;47,3500000000000
3031_002_PICABI_1_1;8,45000000000000;47,3500000000000
3097_001_FAGSYL_1_1;6,90000000000000;52,9200000000000
3101_017_PICGLA_4_12;-138,18440000000001;61,0132100000000
3101_020_PICGLA_4_12;-138,31150000000000;61,0104300000000
3101_030_PICGLA_4_12;-138,03200000000001;60,9550000000000
3101_031_PICGLA_4_12;-138,01411940000000;60,9432388900000
3101_032_PICGLA_4_12;-138,04249999999999;60,9541100000000
3101_033_PICGLA_4_12;-137,97420000000000;60,9317100000000
3131_001_FAGSYL_1_3;12,39000000000000;46,0400000000000
3169_001_PICABI_4_12;11,74161000000000;46,3104570000000
3169_002_PICABI_1_1;11,73536900000000;46,3101480000000
3169_003_PICABI_1_1;11,75431900000000;46,3059490000000
3169_004_PICABI_1_1;11,75678600000000;46,2956710000000
3169_005_PICABI_1_1;11,77795400000000;46,3270590000000
3169_006_PICABI_1_1;11,74811700000000;46,2962290000000
3169_007_PICABI_1_1;11,74419100000000;46,2946550000000
3169_008_PICABI_1_1;11,73537800000000;46,3101520000000
3181_001_PICGLA_1_3;-148,99000000000001;63,7300000000000
3181_002_PICGLA_1_3;-148,99000000000001;63,7300000000000
3188_001_FAGSYL_1_7;10,03000000000000;51,5500000000000
3194_001_PICABI_1_1;8,85000000000000;58,7700000000000
3200_001_FAGSYL_1_1;5,83227400000000;52,2387680000000
3218_001_FAGSYL_1_3;15,53333333000000;50,7333333300000
5004_001_NOTSOL_1_3;171,63329999999999;-43,1999000000000
5004_002_NOTSOL_1_3;171,63329999999999;-43,1999000000000
5004_003_NOTSOL_1_3;171,63329999999999;-43,1999000000000
5004_004_NOTSOL_1_3;172,36320000000001;-43,1869000000000
5017_001_PINSPP_1_3;-91,95000000000000;32,0333330000000
5023_001_QUESPP_1_42;-80,52270000000000;37,3751000000000
5071_001_ALNINC_1_3;-148,25769120000001;64,6985983500000
5071_003_ALNINC_1_3;-148,25247310000000;64,6987824400000
5071_003_BETNEO_1_3;-148,25247310000000;64,6987824400000
5071_003_PICGLA_1_3;-148,25250000000000;64,6987800000000
5071_006_ALNINC_1_3;-148,23686050000001;64,6787858600000
5071_007_BETNEO_1_3;-148,23686050000001;64,6787858600000
5071_007_PICGLA_1_3;-148,23689999999999;64,6787900000000
5071_008_PICMAR_1_3;-148,24910000000000;64,6814800000000
5071_011_ALNINC_1_3;-148,30272840000001;64,7355438700000
5071_011_BETNEO_1_3;-148,30272840000001;64,7355438700000
5071_011_PICGLA_1_3;-148,30269999999999;64,7355400000000
5071_013_ALNINC_1_3;-148,27950179999999;64,7674252100000
5071_013_BETNEO_1_3;-148,27950179999999;64,7674252100000
5071_013_PICGLA_1_3;-148,27950000000001;64,7674300000000
5081_001_FAGGRA_1_7;-74,21666700000000;44,0000000000000
5088_002_CHICRA_2_17;167,63647000000000;-45,2778000000000
5088_002_CHIPAL_2_17;167,63647000000000;-45,2778000000000
5088_002_CHIRIG_2_17;167,63647000000000;-45,2778000000000
5088_002_CHIRUB_2_17;167,63647000000000;-45,2778000000000
5088_002_CHITER_2_17;167,63647000000000;-45,2778000000000
5088_003_CHIPAL_2_17;171,55000000000001;-43,7000000000000
5092_001_QUEAGR_1_9;-121,55700000000000;36,3800000000000
5092_001_QUECHR_1_9;-121,55700000000000;36,3800000000000
5092_001_QUEDOU_1_9;-121,55700000000000;36,3800000000000
5092_001_QUEKEL_1_9;-121,55700000000000;36,3800000000000
5092_001_QUELOB_1_9;-121,55700000000000;36,3800000000000
5092_002_QUECHR_1_9;-123,08561800000000;39,0270060000000
5092_002_QUEDOU_1_9;-123,08561800000000;39,0270060000000
5092_002_QUEKEL_1_9;-123,08561800000000;39,0270060000000
5092_002_QUELOB_1_9;-123,08561800000000;39,0270060000000
5092_002_QUEWIS_1_9;-123,08561800000000;39,0270060000000
5092_005_QUEAGR_1_9;-122,23092000000000;37,4041943000000
5092_005_QUEDOU_1_9;-122,23092000000000;37,4041943000000
5092_005_QUELOB_1_9;-122,23092000000000;37,4041943000000
5092_006_QUELOB_1_9;-119,17000000000000;36,3313500000000
5092_007_QUECHR_1_9;-118,78000000000000;36,3601740000000
5092_007_QUEDOU_1_9;-118,78000000000000;36,3601740000000
5092_007_QUEWIS_1_9;-118,78000000000000;36,3601740000000
5092_008_QUEDOU_1_9;-118,70999999999999;34,7364140000000
5092_008_QUEKEL_1_9;-118,70999999999999;34,7364140000000
5092_008_QUELOB_1_9;-118,70999999999999;34,7364140000000
5092_009_QUECHR_1_9;-116,88500000000001;33,3322000000000
5092_009_QUEKEL_1_9;-116,88500000000001;33,3322000000000
5092_010_QUEAGR_1_9;-120,26777000000000;35,2839170000000
5092_010_QUEDOU_1_9;-120,26777000000000;35,2839170000000
5092_010_QUELOB_1_9;-120,26777000000000;35,2839170000000
5092_011_QUEDOU_1_9;-119,73900000000000;37,0959000000000
5092_011_QUEWIS_1_9;-119,73900000000000;37,0959000000000
5092_012_QUEAGR_1_9;-117,26900000000001;33,5231350000000
5092_012_QUEENG_1_9;-117,26900000000001;33,5231350000000
5092_013_QUEAGR_1_9;-120,03879999999999;34,7155920000000
5092_013_QUEDOU_1_9;-120,03879999999999;34,7155920000000
5092_013_QUELOB_1_9;-120,03879999999999;34,7155920000000
5092_014_QUEDOU_1_9;-121,28860000000000;39,2385519000000
5092_014_QUELOB_1_9;-121,28860000000000;39,2385519000000
5092_014_QUEWIS_1_9;-121,28860000000000;39,2385519000000
5092_015_QUEAGR_1_9;-118,14400000000001;34,2661760000000
5092_015_QUECHR_1_9;-118,14400000000001;34,2661760000000
5092_016_QUECHR_1_9;-122,63724999999999;40,6635600000000
5092_016_QUEKEL_1_9;-122,63724999999999;40,6635600000000
5092_016_QUELOB_1_9;-122,63724999999999;40,6635600000000
5092_018_QUECHR_1_9;-119,59300000000000;37,7440510000000
5092_018_QUEKEL_1_9;-119,59300000000000;37,7440510000000
5093_002_QUEDOU_1_9;-122,04572360000000;40,1037329000000
5093_002_QUELOB_1_9;-122,04572360000000;40,1037329000000
5093_002_QUEWIS_1_9;-122,04572360000000;40,1037329000000
5118_002_PINPON_4_12;-105,30390400000000;40,0132697000000
5130_001_QUEILE_1_7;3,59583300000000;43,7413890000000
5155_001_PINPON_1_3;-105,12000000000000;39,1400000000000
5155_002_PINPON_1_3;-105,12000000000000;39,1400000000000
5164_043_PINSYL_1_3;24,15001000000000;68,0166600000000
5164_103_PICABI_1_3;27,64990000000000;63,0666000000000
5181_006_QUEROB_3_7;3,75444444400000;50,1711111100000
5181_010_FAGSYL_3_7;3,54333333333333;44,1152777777778
5181_015_FAGSYL_1_3;-0,65805556000000;43,1502777800000
5181_017_QUEPET_3_7;1,26000000000000;47,5691666700000
5181_030_QUESPP_3_7;2,71722222200000;48,4538888900000
5181_037_PICABI_3_7;4,80972222200000;49,9475000000000
5181_041_PICABI_3_7;2,96611111100000;45,7555555600000
5181_046_PICABI_3_7;1,81527777800000;45,8000000000000
5181_086_PINSYL_3_7;7,71083333300000;48,8502777800000
5181_092_ABIALB_3_7;6,45916666700000;44,4902777800000
5181_095_ABIALB_3_7;2,10111111100000;42,8672222200000
5181_098_ABIALB_3_7;6,13138888900000;45,4213888900000
5181_100_ABIALB_3_7;7,13388888900000;48,6100000000000
5181_102_ABIALB_3_7;7,12527777800000;47,9336111100000
6008_001_SORAUC_3_4;19,52000000000000;49,5700000000000
6009_001_QUEALB_1_9;-75,98099999999999;40,6360000000000
6009_001_QUEMNT_1_9;-75,98099999999999;40,6360000000000
6009_001_QUERUB_1_9;-75,98099999999999;40,6360000000000
6009_002_QUEALB_1_9;-75,99299999999999;41,1360000000000
6009_002_QUERUB_1_9;-75,99299999999999;41,1360000000000
6009_002_QUEVEL_1_9;-75,99299999999999;41,1360000000000
6009_003_QUEALB_1_9;-75,93300000000001;41,1600000000000
6009_003_QUEMNT_1_9;-75,93300000000001;41,1600000000000
6009_003_QUERUB_1_9;-75,93300000000001;41,1600000000000
6012_001_FAGSYL_1_9;-3,46000000000000;50,7600000000000
6012_002_FAGSYL_1_9;-3,37000000000000;50,6500000000000
6012_003_FAGSYL_1_9;-0,15000000000000;50,8700000000000
6012_004_FAGSYL_1_9;-0,97000000000000;51,5700000000000
6012_005_FAGSYL_1_9;-1,83000000000000;52,0300000000000
6012_006_FAGSYL_1_9;-2,17000000000000;51,8200000000000
6012_007_FAGSYL_1_9;-2,18000000000000;51,8100000000000
6012_008_FAGSYL_1_9;-2,17000000000000;52,5200000000000
6012_009_FAGSYL_1_9;-1,46000000000000;54,1700000000000
6012_010_FAGSYL_1_9;-1,65000000000000;54,6700000000000
6012_011_FAGSYL_1_9;-1,67000000000000;54,9700000000000
6012_012_FAGSYL_1_9;-0,15000000000000;50,8500000000000
6014_002_PINPAL_4_12;-92,41000000000000;31,3400000000000
6014_003_PINPAL_4_12;-87,16000000000000;31,1300000000000
6014_004_PINPAL_4_12;-86,81000000000000;30,9400000000000
6014_005_PINPAL_4_12;-86,53000000000000;30,4800000000000
6014_006_PINPAL_4_12;-85,02000000000000;30,1500000000000
6014_007_PINPAL_4_12;-84,48000000000000;31,2200000000000
6014_008_PINPAL_4_12;-85,84000000000000;30,9100000000000
6014_009_PINPAL_4_12;-85,00000000000000;32,3400000000000
6014_010_PINPAL_4_12;-80,52000000000000;34,0800000000000
6014_011_PINPAL_4_12;-78,56000000000000;34,7100000000000
6038_011_PINPON_4_12;-108,69157100000000;40,5752976000000
6039_001_ABIBAL_1_3;-69,77100000000000;43,8700000000000
6039_001_BETPAP_1_3;-69,77100000000000;43,8700000000000
6039_001_PICRUB_1_3;-69,77100000000000;43,8700000000000
6039_001_PINSTR_1_3;-69,77100000000000;43,8700000000000
6039_001_QUEALB_1_3;-69,77100000000000;43,8700000000000
6039_001_QUERUB_1_3;-69,77100000000000;43,8700000000000
6039_001_TSUCAN_1_3;-69,77100000000000;43,8700000000000
6042_002_PINALB_4_22;-113,66457020000000;48,8209019000000
6042_005_PINALB_4_22;-111,17333600000001;46,4041466000000
6042_008_PINALB_4_22;-111,99680119999999;45,4916741000000
6042_009_PINALB_4_22;-114,99259030000000;45,7036359000000
6042_010_PINALB_4_22;-113,36227030000001;48,1936761000000
6042_011_PINALB_4_22;-111,72606530000000;46,3689339000000
6042_013_PINALB_4_22;-113,16164600000000;46,2956390000000
6042_014_PINALB_4_22;-111,73737880000000;44,8853825000000
6042_015_PINALB_4_22;-111,83568840000000;45,0506850000000
6042_016_PINALB_4_22;-114,62943710000000;45,6446619000000
6042_017_PINALB_4_22;-109,93862840000000;45,0515466000000
6042_018_PINALB_4_22;-110,71732419999999;46,8383799000000
6042_019_PINALB_4_22;-113,98764509999999;45,7177829000000
6042_020_PINALB_4_22;-114,79071410000000;48,7639409000000
6042_021_PINALB_4_22;-113,81312640000000;47,0040977000000
6042_023_PINALB_4_22;-113,82831120000000;46,0458872000000
6042_024_PINALB_4_22;-110,58567950000000;45,0532128000000
6042_025_PINALB_4_22;-113,41401800000000;48,4491198000000
6042_027_PINALB_4_22;-114,58718840000000;48,7735792000000
6042_028_PINALB_4_22;-114,58948470000000;48,7724698000000
6042_029_PINALB_4_22;-114,83208490000000;45,6327073000000
6042_034_PINALB_4_22;-112,90241910000000;45,7225247000000
6184_001_CASSAT_1_7;11,92170000000000;43,6763500000000
6184_003_FAGSYL_1_7;11,91390200000000;43,6500598500000
6184_004_FAGSYL_1_7;11,91541755000000;43,6498669700000
6184_006_QUECER_1_7;10,90469386000000;43,1462577700000
6184_007_QUECER_1_7;10,90482003000000;43,1450902000000
6184_008_QUECER_1_7;10,90444010000000;43,1449996700000
6184_009_QUECER_1_7;10,90444000000000;43,1450000000000
6184_010_QUECER_1_7;11,91396000000000;43,6717700000000
6184_012_QUECER_1_7;10,70076669000000;43,2077165700000
6184_013_QUECER_1_7;12,03165697000000;43,7342780100000
6184_015_QUECER_1_7;10,70133508000000;43,2078409600000
6184_016_QUECER_1_7;12,03525144000000;43,7393121500000
6189_001_QUEMNG_1_3;141,55750000000000;39,8088888900000
6198_002_FAGSYL_3_7;6,65805555600000;46,5838888900000
6210_001_FAGSYL_1_7;9,57805500000000;51,7614270000000
6210_002_FAGSYL_1_7;10,04661900000000;51,5283950000000
6210_003_FAGSYL_1_7;10,26633300000000;52,8394910000000
6210_004_FAGSYL_1_7;9,39550900000000;50,1527070000000
6210_005_FAGSYL_1_7;9,26764700000000;51,3710770000000
6210_007_FAGSYL_1_7;10,24079900000000;54,0983330000000
